id,pais,iso_3,nivel,entidade,regiao,ano,data_completa,status,fonte,tipo_evidencia,cor_mapa,url_documento,url_referencia,fator_risco_wwa,justificativa,observacoes,verificado,adm1_ne_id,lat,lon
1782,Estados Unidos,USA,municipal,Porter Town Council,Indiana,2020.0,25 Feb 2020,ativo,CEDAMIA,declaracao-formal,amarelo,,http://www.chestertontribune.com/Town%20of%20Porter/porter_town_council_passes_clima.htm,,,Declared CE,False,1159315311.0,41.4457032,-87.0724971
1783,Estados Unidos,USA,municipal,Portland City Council,Maine,2019.0,18 Nov 2019,ativo,CEDAMIA,declaracao-formal,amarelo,,https://portlandphoenix.me/council-declares-climate-emergency-puts-ranked-choice-voting-extension-on-ballot/,,,Declared CE,False,1159308501.0,43.6573605,-70.2586618
1784,Estados Unidos,USA,municipal,Portland City Council,Oregon,2020.0,30 Jun 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.portland.gov/sites/default/files/2020-05/for-public-release_climate-emergency-declaration_may-28-2020.pdf,https://www.opb.org/news/article/portland-oregon-climate-emergency-ted-wheeler-city-council-i5/,,,Declared CE,False,1159309549.0,45.5202471,-122.674194
1785,Estados Unidos,USA,municipal,Prairie Village City Council,Kansas,2021.0,4 Oct 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.pvkansas.com/governing-body/city-council/city-council-meetings-minutes-and-packets/-toggle-allpast,,,,Recognised CE,False,1159315359.0,38.9914109,-94.6332768
1786,Estados Unidos,USA,municipal,Provincetown Town Meeting,Massachusetts,2020.0,21 Sep 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.provincetown-ma.gov/DocumentCenter/View/13303/September-21-Annual-Town-Meeting-Minutes?bidId=,https://www.capeandislands.org/post/climate-environmental-issues-among-top-priorities-town-meetings#stream/0,,,Declared CE,False,1159312157.0,42.0525612,-70.1858639
1787,Estados Unidos,USA,municipal,Puyallup Tribe of Indians,Washington,2019.0,10 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,http://news.puyalluptribe-nsn.gov/wp-content/uploads/2019/12/Signed-Resolution_Climate-Emergency.pdf,,,,CE & mobilisation,False,1159309547.0,47.2302571,-122.4198796
1788,Estados Unidos,USA,municipal,Red Wing City Council,Minnesota,2022.0,24 Jan 2022,ativo,CEDAMIA,declaracao-formal,amarelo,http://lf.ci.red-wing.mn.us/weblink/0/doc/213184/Page1.aspx,https://www.republicaneagle.com/news/climate-change-declared-an-emergency-in-red-wing-other-minnesota-cities/article_ee3ab350-7ecf-11ec-b030-2b6bb46fdfaf.html,,,Declared CE,False,1159315297.0,44.5624676,-92.5338013
1789,Estados Unidos,USA,municipal,Redmond City Council,Washington,2020.0,6 Oct 2020,ativo,CEDAMIA,declaracao-formal,amarelo,,,,,Declared CE,False,1159309547.0,47.6694141,-122.1238767
1790,Estados Unidos,USA,municipal,Richmond City Council,California,2018.0,24 Jul 2018,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2018/12/Richmond-USA-declaration.pdf,https://climateemergencydeclaration.org/richmondcalifornia/,,,CE & mobilisation,False,1159308415.0,37.9357576,-122.347748
1791,Estados Unidos,USA,municipal,Richmond City Council,Virginia,2021.0,13 Sep 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://richmondva.legistar.com/LegislationDetail.aspx?ID=5069322&GUID=2095F2E2-FD8D-4BD1-87EC-736A648FBF78&Options=ID%7CText%7C&Search=climate,https://www.instagram.com/p/CTzw0k_F-On/,,,Climate & Ecological,False,1159315259.0,37.5385087,-77.43428
1792,Estados Unidos,USA,municipal,Robbinsdale City Council,Minnesota,2022.0,18 Jan 2022,ativo,CEDAMIA,declaracao-formal,amarelo,,https://ccxmedia.org/news/robbinsdale-golden-valley-declare-climate-emergency/,,,Declared CE,False,1159315297.0,45.0313156,-93.3395843
1793,Estados Unidos,USA,municipal,Rohnert Park City Council,California,2021.0,9 Mar 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.rpcity.org/common/pages/DisplayFile.aspx?itemId=17499049,https://www.pressdemocrat.com/article/news/rohnert-park-council-passes-climate-change-resolution-sharpening-focus-on/?sba=AAS,,,Declared CE,False,1159308415.0,38.3396367,-122.701098
1794,Estados Unidos,USA,municipal,Saco City Council,Maine,2020.0,21 Sep 2020,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.pressherald.com/2020/10/01/saco-council-passes-middle-schools-climate-change-resolution/,,,CE & mobilisation,False,1159308501.0,43.500739,-70.4429855
1795,Estados Unidos,USA,municipal,Sacramento City Council,California,2019.0,10 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://sacramento.granicus.com/MetaViewer.php?view_id=21&event_id=3589&meta_id=572011,https://engagesac.org/blog-civic-engagement/2019/12/10/8a1ekyr8su4q3vdyfpnjyau32dmul4,,,Declared CE,False,1159308415.0,38.5810606,-121.493895
1796,Estados Unidos,USA,municipal,Sacramento County Council,California,2020.0,17 Dec 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://agendanet.saccounty.gov/BoardOfSupervisors/Documents/ViewDocument/RES%20-%20Resolution%20Declaring%20A%20Climate%20Emergency.docx.pdf,,,,Declared CE,False,1159308415.0,38.5810606,-121.493895
1797,Estados Unidos,USA,municipal,St. Helena City Council,California,2022.0,12 Apr 2022,ativo,CEDAMIA,declaracao-formal,amarelo,https://sthelena.civicweb.net/document/62817/,,,,Declared CE,False,1159308415.0,38.5052288,-122.470042
1798,Estados Unidos,USA,municipal,Saint Paul City Council,Minnesota,2022.0,19 Jan 2022,ativo,CEDAMIA,declaracao-formal,amarelo,https://stpaul.legistar.com/LegislationDetail.aspx?ID=5378635&GUID=7965176D-C87E-4432-BE78-7BF81EA2AC9D&Options=&Search=,https://www.startribune.com/we-have-a-lot-to-lose-16-minnesota-cities-declare-climate-emergency-urge-legislative-action/600137514/?refresh=true,,,Declared CE,False,1159315297.0,44.9497487,-93.0931028
1799,Estados Unidos,USA,municipal,St. Louis Park Council,Minnesota,2022.0,18 Jan 2022,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.startribune.com/we-have-a-lot-to-lose-16-minnesota-cities-declare-climate-emergency-urge-legislative-action/600137514/?refresh=true,,,Declared CE,False,1159315297.0,44.9475726,-93.3569023
1800,Estados Unidos,USA,municipal,San Anselmo Town Council,California,2020.0,11 Feb 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://docs.google.com/gview?url=https%3A%2F%2Fsananselmo-ca.granicus.com%2FDocumentViewer.php%3Ffile%3Dsananselmo-ca_221a7cff-8919-440e-b73d-2720de27b800.pdf%26view%3D1&embedded=true,,,,Climate & Ecological,False,1159308415.0,37.9744323,-122.561503
1801,Estados Unidos,USA,municipal,San Diego City Council,California,2020.0,10 Mar 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://onbase.sandiego.gov/OnBaseAgendaOnline/Meetings/ViewMeeting?id=1741&doctype=2,https://timesofsandiego.com/politics/2020/03/10/city-council-declares-climate-emergency-in-san-diego/,,,Declared CE,False,1159308415.0,32.7174202,-117.162772
1802,Estados Unidos,USA,municipal,San Francisco (City and County),California,2019.0,2 Apr 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/04/SF.CED_.Passed.Apr2nd2019.pdf,,,,Declared CE,False,1159308415.0,37.7819468,-122.4180883
1803,Estados Unidos,USA,municipal,San José City Council,California,2019.0,17 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/09/San-Jose-Resolution.pdf,https://filamstar.com/san-jose-mayor-council-colleagues-call-for-a-climate-emergency-declaration/,,,CE & mobilisation,False,1159308415.0,37.3361663,-121.890591
1804,Estados Unidos,USA,municipal,Santa Ana City Council,California,2021.0,7 Sep 2021,ativo,CEDAMIA,declaracao-formal,amarelo,,https://grist.org/equity/santa-ana-california-climate-emergency-lead-remediation/,,,Declared CE,False,1159308415.0,33.7494951,-117.873221
1805,Estados Unidos,USA,municipal,San Mateo County Council,California,2019.0,17 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/09/San-Mateo-County-Climate-Emergency-Reso.pdf,https://patch.com/california/sancarlos/san-mateo-county-supes-declare-climate-emergency,,,Declared CE,False,1159308415.0,37.496904,-122.3330573
1806,Estados Unidos,USA,municipal,San Rafael City Council,California,2021.0,20 Sep 2021,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cityofsanrafael.org/meetings/city-council-september-20-2021/,https://www.marinij.com/2021/09/22/san-rafael-declares-official-climate-emergency/,,,Declared CE,False,1159308415.0,37.9747795,-122.5316686
1807,Estados Unidos,USA,municipal,Santa Barbara County,California,2019.0,10 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2020/01/Santa-Barbara-County-Adopted-Resolution.pdf,https://www.edhat.com/news/santa-barbara-county-board-of-supervisors-recognize-climate-emergency,,,Declared CE,False,1159308415.0,34.7136533,-119.985823
1808,Estados Unidos,USA,municipal,Santa Clara County Council,California,2019.0,27 Aug 2019,ativo,CEDAMIA,declaracao-formal,amarelo,http://sccgov.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=8000&Inline=True,,,,Declared CE,False,1159308415.0,37.2333253,-121.6846349
1809,Estados Unidos,USA,municipal,Santa Cruz City Council,California,2018.0,27 Nov 2018,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2018/12/Santa-Cruz-resolution.pdf,https://www.santacruzsentinel.com/2018/11/29/city-council-resolution-targets-climate-emergency/,,,CE & mobilisation,False,1159308415.0,37.050096,-121.99059
1810,Estados Unidos,USA,municipal,Santa Cruz County Council,California,2019.0,29 Jan 2019,ativo,CEDAMIA,declaracao-formal,amarelo,http://scsire.cityofsantacruz.com/sirepub/mtgviewer.aspx?meetid=975&doctype=MINUTES,,,,CE & mobilisation,False,1159308415.0,37.050096,-121.99059
1811,Estados Unidos,USA,municipal,Santa Fe County Council,New Mexico,2019.0,10 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.santafecountynm.gov/documents/agendas/minutes/9-10-2019-p0001_-_p0057.pdf,https://www.sfreporter.com/news/2019/09/13/the-art-of-climate-disruption/,,,CE & mobilisation,False,1159315347.0,35.6876096,-105.938456
1812,Estados Unidos,USA,municipal,Santa Rosa City Council,California,2020.0,14 Jan 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2020/02/Santa-Rosa-CC-RES-2020-002.pdf,https://www.pressdemocrat.com/news/10587634-181/developer-bill-gallaher-sues-santa,,,CE & mobilisation,False,1159308415.0,38.4404925,-122.7141049
1813,Estados Unidos,USA,municipal,Saugerties Town Board,New York,2019.0,14 Aug 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/10/SaugTBAug14minutes.pdf,,,,CE & mobilisation,False,1159312155.0,42.0775906,-73.9529126
1814,Estados Unidos,USA,municipal,Sebastopol City Council,California,2019.0,3 Dec 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/12/Sebastopol-Resolution-Number-6274-Declaring-Climate-Emergency.pdf,,,,CE & mobilisation,False,1159308415.0,38.4021038,-122.824222
1815,Estados Unidos,USA,municipal,Shrewsbury Town Meeting,Massachusetts,2021.0,22 May 2021,ativo,CEDAMIA,declaracao-formal,amarelo,,https://www.communityadvocate.com/2021/05/28/shrewsbury-town-meeting-declares-climate-emergency/,,,Climate & Ecological,False,1159312157.0,42.2960187,-71.71351
1816,Estados Unidos,USA,municipal,Solana Beach City Council,California,2020.0,26 Aug 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://solanabeach.govoffice3.com/vertical/Sites/%7B840804C2-F869-4904-9AE3-720581350CE7%7D/uploads/C.2._Climate_Emergency_FINAL-O.pdf,https://www.delmartimes.net/news/story/2020-08-28/solana-beach-resolution-declares-climate-emergency-need-for-more-action,,,Climate & Ecological,False,1159308415.0,32.9919141,-117.2678124
1817,Estados Unidos,USA,municipal,Sonoma City Council,California,2020.0,2 Nov 2020,ativo,CEDAMIA,declaracao-formal,amarelo,https://sonomacity.civicweb.net/document/39092?splitscreen=true&media=true&attachmenturl=%2Fdocument%2F39036,,,,CE & mobilisation,False,1159308415.0,38.5110803,-122.8473388
1818,Estados Unidos,USA,municipal,Sonoma County Council,California,2019.0,17 Sep 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://www.cedamia.org/wp-content/uploads/2019/09/Sonoma-County-CER-v1.0.pdf,https://www.pressdemocrat.com/home/a1/10057981-181/sonoma-county-supervisors-declare-climate,,,CE & mobilisation,False,1159308415.0,38.5110803,-122.8473388
1819,Estados Unidos,USA,municipal,South Portland City Council,Maine,2019.0,8 Oct 2019,ativo,CEDAMIA,declaracao-formal,amarelo,https://go.boarddocs.com/me/sport/Board.nsf/files/BGRTK677B1B6/$file/Youth%20Amendments%20to%20Staff%20Reccomended%20Resolution%20(in%20red).pdf,https://www.pressherald.com/2019/10/09/south-portland-to-ramp-up-efforts-to-tackle-climate-change/,,,CE & mobilisation,False,1159308501.0,43.6382443,-70.2529189
1820,Estados Unidos,USA,municipal,Stamford City,Connecticut,2022.0,4 Apr 2022,ativo,CEDAMIA,declaracao-formal,amarelo,http://www.boardofreps.org/2022-meetings.aspx,https://www.stamfordadvocate.com/news/article/For-coastal-Stamford-climate-change-means-more-17065376.php,,,Declared CE,False,1159315301.0,41.0513373,-73.5427652
